行,列,符号
0,4,敌方下一塔
0,5,敌方下一塔
0,10,敌方下二塔
0,11,敌方下二塔
0,14,敌方下三塔
0,15,敌方下三塔
1,4,敌方下一塔
1,5,敌方下一塔
1,10,敌方下二塔
1,11,敌方下二塔
1,14,敌方下三塔
1,15,敌方下三塔
1,17,敌方水晶
1,18,敌方水晶
2,17,敌方水晶
2,18,敌方水晶
3,15,敌方中三塔
3,16,敌方中三塔
4,0,上一塔
4,1,上一塔
4,15,敌方中三塔
4,16,敌方中三塔
4,18,敌方上三塔
4,19,敌方上三塔
5,0,上一塔
5,1,上一塔
5,13,敌方中二塔
5,14,敌方中二塔
5,18,敌方上三塔
5,19,敌方上三塔
6,13,敌方中二塔
6,14,敌方中二塔
7,11,敌方中一塔
7,12,敌方中一塔
8,11,敌方中一塔
8,12,敌方中一塔
8,18,敌方上二塔
8,19,敌方上二塔
9,18,敌方上二塔
9,19,敌方上二塔
10,0,上二塔
10,1,上二塔
11,0,上二塔
11,1,上二塔
11,7,中一塔
11,8,中一塔
12,7,中一塔
12,8,中一塔
13,5,中二塔
13,6,中二塔
13,18,敌方上一塔
13,19,敌方上一塔
14,0,上三塔
14,1,上三塔
14,5,中二塔
14,6,中二塔
14,18,敌方上一塔
14,19,敌方上一塔
15,0,上三塔
15,1,上三塔
15,3,中三塔
15,4,中三塔
16,3,中三塔
16,4,中三塔
17,1,水晶
17,2,水晶
18,1,水晶
18,2,水晶
18,4,下三塔
18,5,下三塔
18,8,下二塔
18,9,下二塔
18,13,下一塔
18,14,下一塔
19,4,下三塔
19,5,下三塔
19,8,下二塔
19,9,下二塔
19,13,下一塔
19,14,下一塔
